month,feature_set,model,lasso__alpha,svr__C,svr__epsilon,svr__kernel,svr__gamma
2020-01-31,lag_only,MLR,,,,,
2020-01-31,lag_only,LASSO,0.0001,,,,
2020-01-31,lag_only,SVR,,0.1,0.05,linear,
2020-01-31,lag_only,XGBoost,,,,,
2020-02-29,lag_only,MLR,,,,,
2020-02-29,lag_only,LASSO,0.0001,,,,
2020-02-29,lag_only,SVR,,10.0,0.1,linear,
2020-02-29,lag_only,XGBoost,,,,,
2020-03-31,lag_only,MLR,,,,,
2020-03-31,lag_only,LASSO,0.005857020818056668,,,,
2020-03-31,lag_only,SVR,,1.0,0.2,linear,
2020-03-31,lag_only,XGBoost,,,,,
2020-04-30,lag_only,MLR,,,,,
2020-04-30,lag_only,LASSO,0.023644894126454073,,,,
2020-04-30,lag_only,SVR,,10.0,0.05,linear,
2020-04-30,lag_only,XGBoost,,,,,
2020-05-31,lag_only,MLR,,,,,
2020-05-31,lag_only,LASSO,0.0001,,,,
2020-05-31,lag_only,SVR,,0.1,0.1,linear,
2020-05-31,lag_only,XGBoost,,,,,
2020-06-30,lag_only,MLR,,,,,
2020-06-30,lag_only,LASSO,0.0001,,,,
2020-06-30,lag_only,SVR,,1.0,0.05,linear,
2020-06-30,lag_only,XGBoost,,,,,
2020-07-31,lag_only,MLR,,,,,
2020-07-31,lag_only,LASSO,0.0001,,,,
2020-07-31,lag_only,SVR,,10.0,0.05,linear,
2020-07-31,lag_only,XGBoost,,,,,
2020-08-31,lag_only,MLR,,,,,
2020-08-31,lag_only,LASSO,0.0001,,,,
2020-08-31,lag_only,SVR,,10.0,0.2,linear,
2020-08-31,lag_only,XGBoost,,,,,
2020-09-30,lag_only,MLR,,,,,
2020-09-30,lag_only,LASSO,0.0001,,,,
2020-09-30,lag_only,SVR,,10.0,0.2,linear,
2020-09-30,lag_only,XGBoost,,,,,
2020-10-31,lag_only,MLR,,,,,
2020-10-31,lag_only,LASSO,0.0001,,,,
2020-10-31,lag_only,SVR,,1.0,0.05,linear,
2020-10-31,lag_only,XGBoost,,,,,
2020-11-30,lag_only,MLR,,,,,
2020-11-30,lag_only,LASSO,0.0001,,,,
2020-11-30,lag_only,SVR,,10.0,0.1,linear,
2020-11-30,lag_only,XGBoost,,,,,
2020-12-31,lag_only,MLR,,,,,
2020-12-31,lag_only,LASSO,0.0001,,,,
2020-12-31,lag_only,SVR,,10.0,0.1,linear,
2020-12-31,lag_only,XGBoost,,,,,
2021-01-31,lag_only,MLR,,,,,
2021-01-31,lag_only,LASSO,0.0001,,,,
2021-01-31,lag_only,SVR,,10.0,0.05,linear,
2021-01-31,lag_only,XGBoost,,,,,
2021-02-28,lag_only,MLR,,,,,
2021-02-28,lag_only,LASSO,0.0001,,,,
2021-02-28,lag_only,SVR,,10.0,0.05,linear,
2021-02-28,lag_only,XGBoost,,,,,
2021-03-31,lag_only,MLR,,,,,
2021-03-31,lag_only,LASSO,0.0001,,,,
2021-03-31,lag_only,SVR,,1.0,0.1,linear,
2021-03-31,lag_only,XGBoost,,,,,
2021-04-30,lag_only,MLR,,,,,
2021-04-30,lag_only,LASSO,0.0001,,,,
2021-04-30,lag_only,SVR,,1.0,0.05,linear,
2021-04-30,lag_only,XGBoost,,,,,
2021-05-31,lag_only,MLR,,,,,
2021-05-31,lag_only,LASSO,0.0001,,,,
2021-05-31,lag_only,SVR,,1.0,0.2,linear,
2021-05-31,lag_only,XGBoost,,,,,
2021-06-30,lag_only,MLR,,,,,
2021-06-30,lag_only,LASSO,0.0001,,,,
2021-06-30,lag_only,SVR,,0.1,0.2,linear,
2021-06-30,lag_only,XGBoost,,,,,
2021-07-31,lag_only,MLR,,,,,
2021-07-31,lag_only,LASSO,0.0001,,,,
2021-07-31,lag_only,SVR,,0.1,0.2,linear,
2021-07-31,lag_only,XGBoost,,,,,
2021-08-31,lag_only,MLR,,,,,
2021-08-31,lag_only,LASSO,0.0001,,,,
2021-08-31,lag_only,SVR,,0.1,0.1,linear,
2021-08-31,lag_only,XGBoost,,,,,
2021-09-30,lag_only,MLR,,,,,
2021-09-30,lag_only,LASSO,0.0001,,,,
2021-09-30,lag_only,SVR,,0.1,0.2,linear,
2021-09-30,lag_only,XGBoost,,,,,
2021-10-31,lag_only,MLR,,,,,
2021-10-31,lag_only,LASSO,0.0001,,,,
2021-10-31,lag_only,SVR,,0.1,0.2,linear,
2021-10-31,lag_only,XGBoost,,,,,
2021-11-30,lag_only,MLR,,,,,
2021-11-30,lag_only,LASSO,0.0001,,,,
2021-11-30,lag_only,SVR,,1.0,0.2,linear,
2021-11-30,lag_only,XGBoost,,,,,
2021-12-31,lag_only,MLR,,,,,
2021-12-31,lag_only,LASSO,0.0001,,,,
2021-12-31,lag_only,SVR,,1.0,0.2,linear,
2021-12-31,lag_only,XGBoost,,,,,
2022-01-31,lag_only,MLR,,,,,
2022-01-31,lag_only,LASSO,0.0001,,,,
2022-01-31,lag_only,SVR,,10.0,0.2,linear,
2022-01-31,lag_only,XGBoost,,,,,
2022-02-28,lag_only,MLR,,,,,
2022-02-28,lag_only,LASSO,0.0001,,,,
2022-02-28,lag_only,SVR,,1.0,0.2,linear,
2022-02-28,lag_only,XGBoost,,,,,
2022-03-31,lag_only,MLR,,,,,
2022-03-31,lag_only,LASSO,0.0001,,,,
2022-03-31,lag_only,SVR,,0.1,0.2,linear,
2022-03-31,lag_only,XGBoost,,,,,
2022-04-30,lag_only,MLR,,,,,
2022-04-30,lag_only,LASSO,0.0001,,,,
2022-04-30,lag_only,SVR,,1.0,0.2,linear,
2022-04-30,lag_only,XGBoost,,,,,
2022-05-31,lag_only,MLR,,,,,
2022-05-31,lag_only,LASSO,0.0001,,,,
2022-05-31,lag_only,SVR,,10.0,0.2,linear,
2022-05-31,lag_only,XGBoost,,,,,
2022-06-30,lag_only,MLR,,,,,
2022-06-30,lag_only,LASSO,0.0001,,,,
2022-06-30,lag_only,SVR,,10.0,0.2,linear,
2022-06-30,lag_only,XGBoost,,,,,
2022-07-31,lag_only,MLR,,,,,
2022-07-31,lag_only,LASSO,0.0001,,,,
2022-07-31,lag_only,SVR,,10.0,0.2,linear,
2022-07-31,lag_only,XGBoost,,,,,
2022-08-31,lag_only,MLR,,,,,
2022-08-31,lag_only,LASSO,0.0001,,,,
2022-08-31,lag_only,SVR,,1.0,0.2,linear,
2022-08-31,lag_only,XGBoost,,,,,
2022-09-30,lag_only,MLR,,,,,
2022-09-30,lag_only,LASSO,0.0001,,,,
2022-09-30,lag_only,SVR,,10.0,0.2,linear,
2022-09-30,lag_only,XGBoost,,,,,
2022-10-31,lag_only,MLR,,,,,
2022-10-31,lag_only,LASSO,0.0001,,,,
2022-10-31,lag_only,SVR,,1.0,0.2,linear,
2022-10-31,lag_only,XGBoost,,,,,
2022-11-30,lag_only,MLR,,,,,
2022-11-30,lag_only,LASSO,0.0001,,,,
2022-11-30,lag_only,SVR,,1.0,0.1,linear,
2022-11-30,lag_only,XGBoost,,,,,
2022-12-31,lag_only,MLR,,,,,
2022-12-31,lag_only,LASSO,0.0001,,,,
2022-12-31,lag_only,SVR,,0.1,0.2,linear,
2022-12-31,lag_only,XGBoost,,,,,
2023-01-31,lag_only,MLR,,,,,
2023-01-31,lag_only,LASSO,0.0001,,,,
2023-01-31,lag_only,SVR,,1.0,0.2,linear,
2023-01-31,lag_only,XGBoost,,,,,
2023-02-28,lag_only,MLR,,,,,
2023-02-28,lag_only,LASSO,0.0001,,,,
2023-02-28,lag_only,SVR,,0.1,0.05,linear,
2023-02-28,lag_only,XGBoost,,,,,
2023-03-31,lag_only,MLR,,,,,
2023-03-31,lag_only,LASSO,0.0001,,,,
2023-03-31,lag_only,SVR,,0.1,0.1,linear,
2023-03-31,lag_only,XGBoost,,,,,
2023-04-30,lag_only,MLR,,,,,
2023-04-30,lag_only,LASSO,0.0001,,,,
2023-04-30,lag_only,SVR,,0.1,0.1,linear,
2023-04-30,lag_only,XGBoost,,,,,
2023-05-31,lag_only,MLR,,,,,
2023-05-31,lag_only,LASSO,0.0001,,,,
2023-05-31,lag_only,SVR,,0.1,0.1,linear,
2023-05-31,lag_only,XGBoost,,,,,
2023-06-30,lag_only,MLR,,,,,
2023-06-30,lag_only,LASSO,0.0001,,,,
2023-06-30,lag_only,SVR,,0.1,0.2,linear,
2023-06-30,lag_only,XGBoost,,,,,
2023-07-31,lag_only,MLR,,,,,
2023-07-31,lag_only,LASSO,0.0001,,,,
2023-07-31,lag_only,SVR,,10.0,0.1,rbf,0.01
2023-07-31,lag_only,XGBoost,,,,,
2023-08-31,lag_only,MLR,,,,,
2023-08-31,lag_only,LASSO,0.007390722033525776,,,,
2023-08-31,lag_only,SVR,,0.1,0.05,linear,
2023-08-31,lag_only,XGBoost,,,,,
2023-09-30,lag_only,MLR,,,,,
2023-09-30,lag_only,LASSO,0.0001,,,,
2023-09-30,lag_only,SVR,,0.1,0.05,linear,
2023-09-30,lag_only,XGBoost,,,,,
2023-10-31,lag_only,MLR,,,,,
2023-10-31,lag_only,LASSO,0.008302175681319744,,,,
2023-10-31,lag_only,SVR,,0.1,0.05,linear,
2023-10-31,lag_only,XGBoost,,,,,
2023-11-30,lag_only,MLR,,,,,
2023-11-30,lag_only,LASSO,0.0001,,,,
2023-11-30,lag_only,SVR,,0.1,0.2,linear,
2023-11-30,lag_only,XGBoost,,,,,
2023-12-31,lag_only,MLR,,,,,
2023-12-31,lag_only,LASSO,0.0001,,,,
2023-12-31,lag_only,SVR,,1.0,0.05,linear,
2023-12-31,lag_only,XGBoost,,,,,
2024-01-31,lag_only,MLR,,,,,
2024-01-31,lag_only,LASSO,0.0001,,,,
2024-01-31,lag_only,SVR,,1.0,0.2,linear,
2024-01-31,lag_only,XGBoost,,,,,
2024-02-29,lag_only,MLR,,,,,
2024-02-29,lag_only,LASSO,0.0001,,,,
2024-02-29,lag_only,SVR,,10.0,0.2,linear,
2024-02-29,lag_only,XGBoost,,,,,
2024-03-31,lag_only,MLR,,,,,
2024-03-31,lag_only,LASSO,0.0001,,,,
2024-03-31,lag_only,SVR,,1.0,0.1,linear,
2024-03-31,lag_only,XGBoost,,,,,
2024-04-30,lag_only,MLR,,,,,
2024-04-30,lag_only,LASSO,0.0001,,,,
2024-04-30,lag_only,SVR,,0.1,0.1,linear,
2024-04-30,lag_only,XGBoost,,,,,
2024-05-31,lag_only,MLR,,,,,
2024-05-31,lag_only,LASSO,0.0001,,,,
2024-05-31,lag_only,SVR,,0.1,0.1,linear,
2024-05-31,lag_only,XGBoost,,,,,
2024-06-30,lag_only,MLR,,,,,
2024-06-30,lag_only,LASSO,0.0001,,,,
2024-06-30,lag_only,SVR,,1.0,0.2,linear,
2024-06-30,lag_only,XGBoost,,,,,
2024-07-31,lag_only,MLR,,,,,
2024-07-31,lag_only,LASSO,0.0001,,,,
2024-07-31,lag_only,SVR,,10.0,0.1,linear,
2024-07-31,lag_only,XGBoost,,,,,
2024-08-31,lag_only,MLR,,,,,
2024-08-31,lag_only,LASSO,0.0001,,,,
2024-08-31,lag_only,SVR,,0.1,0.1,linear,
2024-08-31,lag_only,XGBoost,,,,,
2024-09-30,lag_only,MLR,,,,,
2024-09-30,lag_only,LASSO,0.0001,,,,
2024-09-30,lag_only,SVR,,0.1,0.2,linear,
2024-09-30,lag_only,XGBoost,,,,,
2024-10-31,lag_only,MLR,,,,,
2024-10-31,lag_only,LASSO,0.0001,,,,
2024-10-31,lag_only,SVR,,0.1,0.2,linear,
2024-10-31,lag_only,XGBoost,,,,,
2024-11-30,lag_only,MLR,,,,,
2024-11-30,lag_only,LASSO,0.0001,,,,
2024-11-30,lag_only,SVR,,0.1,0.05,linear,
2024-11-30,lag_only,XGBoost,,,,,
2024-12-31,lag_only,MLR,,,,,
2024-12-31,lag_only,LASSO,0.0001,,,,
2024-12-31,lag_only,SVR,,0.1,0.2,linear,
2024-12-31,lag_only,XGBoost,,,,,
2025-01-31,lag_only,MLR,,,,,
2025-01-31,lag_only,LASSO,0.007390722033525776,,,,
2025-01-31,lag_only,SVR,,10.0,0.2,linear,
2025-01-31,lag_only,XGBoost,,,,,
2025-02-28,lag_only,MLR,,,,,
2025-02-28,lag_only,LASSO,0.01873817422860383,,,,
2025-02-28,lag_only,SVR,,0.1,0.2,linear,
2025-02-28,lag_only,XGBoost,,,,,
2025-03-31,lag_only,MLR,,,,,
2025-03-31,lag_only,LASSO,0.01873817422860383,,,,
2025-03-31,lag_only,SVR,,0.1,0.2,linear,
2025-03-31,lag_only,XGBoost,,,,,
2025-04-30,lag_only,MLR,,,,,
2025-04-30,lag_only,LASSO,0.01873817422860383,,,,
2025-04-30,lag_only,SVR,,0.1,0.2,linear,
2025-04-30,lag_only,XGBoost,,,,,
2025-05-31,lag_only,MLR,,,,,
2025-05-31,lag_only,LASSO,0.007390722033525776,,,,
2025-05-31,lag_only,SVR,,0.1,0.2,linear,
2025-05-31,lag_only,XGBoost,,,,,
2025-06-30,lag_only,MLR,,,,,
2025-06-30,lag_only,LASSO,0.001023531021899027,,,,
2025-06-30,lag_only,SVR,,0.1,0.05,linear,
2025-06-30,lag_only,XGBoost,,,,,
2025-07-31,lag_only,MLR,,,,,
2025-07-31,lag_only,LASSO,0.005214008287999685,,,,
2025-07-31,lag_only,SVR,,0.1,0.05,linear,
2025-07-31,lag_only,XGBoost,,,,,
2025-08-31,lag_only,MLR,,,,,
2025-08-31,lag_only,LASSO,0.0001,,,,
2025-08-31,lag_only,SVR,,0.1,0.1,linear,
2025-08-31,lag_only,XGBoost,,,,,
2025-09-30,lag_only,MLR,,,,,
2025-09-30,lag_only,LASSO,0.0001,,,,
2025-09-30,lag_only,SVR,,0.1,0.05,linear,
2025-09-30,lag_only,XGBoost,,,,,
2025-10-31,lag_only,MLR,,,,,
2025-10-31,lag_only,LASSO,0.0001,,,,
2025-10-31,lag_only,SVR,,0.1,0.05,linear,
2025-10-31,lag_only,XGBoost,,,,,
2025-11-30,lag_only,MLR,,,,,
2025-11-30,lag_only,LASSO,0.0001,,,,
2025-11-30,lag_only,SVR,,0.1,0.05,linear,
2025-11-30,lag_only,XGBoost,,,,,
2025-12-31,lag_only,MLR,,,,,
2025-12-31,lag_only,LASSO,0.0001,,,,
2025-12-31,lag_only,SVR,,10.0,0.05,rbf,0.01
2025-12-31,lag_only,XGBoost,,,,,
2026-01-31,lag_only,MLR,,,,,
2026-01-31,lag_only,LASSO,0.0001,,,,
2026-01-31,lag_only,SVR,,0.1,0.05,linear,
2026-01-31,lag_only,XGBoost,,,,,
2026-02-28,lag_only,MLR,,,,,
2026-02-28,lag_only,LASSO,0.0001,,,,
2026-02-28,lag_only,SVR,,1.0,0.05,linear,
2026-02-28,lag_only,XGBoost,,,,,
2026-03-31,lag_only,MLR,,,,,
2026-03-31,lag_only,LASSO,0.0001,,,,
2026-03-31,lag_only,SVR,,10.0,0.05,linear,
2026-03-31,lag_only,XGBoost,,,,,
